source,name,lat,lng,phone,website
OSM,Vigilance and Security Office,13.6799238,79.3508215,,
OSM,Unknown,17.7348024,83.2812926,,
OSM,Three Town police station,16.2381436,80.6429327,,
OSM,Police Station,15.935314,77.355997,,
OSM,Vetapalem Police Station,15.7823656,80.3026372,,
OSM,police station,17.0746367,80.9904312,,
OSM,police quarters,17.0748011,80.9907364,,
OSM,police station,16.2924294,80.453525,,
OSM,Police Station,14.4465603,79.9819165,,
OSM,S.P. Bunglow,14.4674176,78.8264055,,
OSM,Police Station,14.1641556,77.8121045,,
OSM,APSP- 2 Betallion,15.8263072,78.0219723,,
OSM,Unknown,16.577461,82.0029545,,
OSM,Amalapuram II Town Police Station,16.578069,82.0003142,,
OSM,II town police station,13.2111193,79.0938583,,
OSM,II Town Central Crime Station,16.9916278,81.7772132,,
OSM,II Town Law And Order Police Station,16.9917549,81.7771515,,
OSM,I Town Law And Order Police Station,17.0009146,81.77106,0883-2471033,
OSM,I Town Central Crime Station,17.0009288,81.771046,,
OSM,City Traffic Police Station & Circle Office,17.0057103,81.7788238,"0883-2442953, 2468050",
OSM,III Town Central Crime Station,17.0057577,81.7785657,0883-2468050,
OSM,Prakasham Nagar Police Station,17.0070088,81.7879635,,
OSM,Mahila Police Station,17.0090634,81.7696775,,
OSM,III Town Law And Order Police Station,17.0091544,81.7697628,,
OSM,Alipiri Police Station,13.6483433,79.4252717,,
OSM,Ulavapadu Railway Police Station,15.1608912,80.0125345,,
OSM,Ananthapur 3 Town Police Station,14.6944081,77.5981275,8554-275877,
OSM,Bangarupalyam Police Station,13.1963861,78.9145584,+91 8573280233,
OSM,Chandragiri Police Station,13.5888024,79.3175846,+91 8772289020,
OSM,Chittoor 1 Town Police Station,13.2167629,79.1010473,+91944079707,
OSM,Gaangavaram Police Station,13.2195594,78.7354104,+9194407 96735,
OSM,Gudipala Police Station,13.0925681,79.133443,+91 8572257733,
OSM,K V Palli Police Station,13.8069305,78.9027464,+91 8584282633,
OSM,Police Station,12.7496431,78.3454026,+91 8570255133,
OSM,Madanapalli 1 Town Police Station,13.5561231,78.4969407,+91 8571222033,
OSM,Madanapalli 2 Town Police Station,13.5579971,78.5090533,+91 8571222109,
OSM,MR Palli Police Station,13.6105795,79.4189638,+91 8772289014,
OSM,Nagiri Police Station,13.3207159,79.5854366,+91 8577235333,
OSM,Narayanavanam Police Station,13.4235342,79.5884195,+91 8577221333,
OSM,Piler Police Station,13.6553381,78.9357113,+91 8584244233,
OSM,J1 Police Station,13.4393831,79.5521821,+91 8577222333,
OSM,Rompicherlal Police Station,16.2096542,79.9087503,+91 8584288233,
OSM,Tiruchanur Police Station,13.607804,79.4489953,+91 8772289015,
OSM,Tirupathi West Police Station,13.6348619,79.4153527,+91 8772289008,
OSM,Tirupati Crime  Police Station,13.6335909,79.4135251,+91 8577289433,
OSM,Tirupati Urban SP Office,13.6302056,79.4123393,+91 8576275533,
OSM,SV University Police Station,13.6259378,79.4004217,+91 8577284433,
OSM,Annavarm Police Station,17.2848462,82.4057539,+91 8868238100,
OSM,Anakapalli Police Station,17.6858653,82.9884187,+91 9440796084,
OSM,Gopalapatnam Police Station,17.7442772,83.2257172,+91 891 252 0933,
OSM,Parawada Police Station,17.6296866,83.0909269,"+91 8933229533 ,+91 9440796082",
OSM,Chodavaram Police Station,17.8257435,82.9386716,"+91 8932245033 , +91 9440796090",
OSM,Butchiyyapeta Police Station,17.790529,82.8749406,"+91 8932222633 , +91 9440904211",
OSM,S Kota Police Station,18.1141818,83.138363,"+91 8936249833 , +91 9440904223",
OSM,Golugonda Police Station,17.679553,82.4681388,"+91 8932232433 , +91 9440904215",
OSM,Bommuru Police Station,17.0137329,81.8087082,"+91 8935251266 , +91 9440904228",
OSM,Kasimkota Police Station,17.6695914,82.9664591,"+91 8924220799 , +91 9440796088",
OSM,Koyyuru Police Station,17.6485055,82.2213589,"+91 8937238433 , +91 9440904241",
OSM,NKP Police Station,17.4089028,82.7161181,"+981 8931227433 , +91 9440796105",
OSM,One town Police Station,14.6780743,77.6085018,"08554-274033 , 9440796805",
OSM,M.R palli Police Station,13.6158101,79.4168514,,
OSM,Hiramandalam Police Station,18.6739408,83.9497791,,
OSM,Kothapatnam police station,15.4470183,80.1597475,,
OSM,Arundalpet Police Station,16.3039416,80.4377261,,
OSM,Chebrole Police Station,16.2025985,80.5245854,,
OSM,TUNI URBAN POLICE STATION,17.3586314,82.5416401,,
OSM,Marine Police Station,16.1459776,81.1790021,,
OSM,Chilakalapudi Police Station,16.1908039,81.1451734,,
OSM,F R O,16.2976316,80.4272358,,
OSM,Pattabhipuram police station,16.3052237,80.423819,,
OSM,2 Town Police Station,16.2385179,80.045045,086472 22333,
OSM,Sri City Police,13.5597868,80.0230418,,
OSM,Highway Patrol,13.6455682,79.5217956,,
OSM,Police Station,16.0732095,80.3292635,,
OSM,Unknown,17.035421,81.564054,,
OSM,esuguralla palli police base,17.7427395,81.1773842,,
OSM,Unknown,18.2920517,83.8973955,,
OSM,Cyber Crime,17.7213796,83.3187815,,
OSM,Pendurthi Police Station,17.8099057,83.207571,,
OSM,Pamarru Police Station,16.3231409,80.9579194,,
OSM,Darsi police station,15.7699308,79.6803751,,
OSM,district police office,17.0122305,81.8096406,,
OSM,district police office,17.0159127,81.8083881,,
OSM,District Police Office,17.0130179,81.8104798,,
OSM,Tadepalligudem Town Police Station,16.814009,81.527257,,
OSM,Vemula Police Station,14.3716487,78.3253251,,
OSM,Unknown,16.2929791,80.4544831,,
OSM,New Police Station,18.2023188,83.6893107,,
OSM,Ibrahimpatnam PS,16.5903542,80.5222991,,
OSM,Bhimavaram one town police station,16.5419986,81.5227067,,
OSM,Bhimavaram two town police station,16.5433793,81.5196303,,
OSM,RAJAM POLICE STATION,18.4489918,83.6553222,,
OSM,police station,15.9422617,78.5475212,,
OSM,police quarters,15.9422818,78.5478309,,
OSM,Unknown,16.5860168,81.460306,,
OSM,Police Station,18.6876332,83.6086692,,
OSM,Police Station,16.4338093,79.7119596,,
OSM,1 Town Police Station,18.2917985,83.8964518,,
OSM,Unknown,18.2911699,83.8981833,,
OSM,2 Town Police Station,18.2958678,83.8944028,,
OSM,1 town poliic station,14.478227,78.8220399,,
OSM,Unknown,14.5605398,77.8562956,,
OSM,Jaggampeta Police Station,17.173679,82.057094,,
OSM,Amruthalur Police Station,16.1196456,80.6624313,,
OSM,"Police Station , Santhabommali",18.5345304,84.1991599,,
OSM,"Police Station , Kotabommali",18.5171968,84.1458784,,
OSM,"Police Station , Polaki",18.3694842,84.1062863,,
OSM,Police Quarters,18.3692669,84.1064893,,
OSM,Vijayawada city Police,16.5037191,80.6368446,,
OSM,Cyber Crime,16.5088496,80.6347707,,
OSM,"Police Station, Sileru",18.0518841,82.0348021,,
OSM,"Police Station, Krishna Lanka",16.5094827,80.6190522,,
OSM,Unknown,16.5132826,80.5177622,,
OSM,Duvvada Police Station,17.6847886,83.1660819,,
OSM,Traffic Police Station,16.4854707,80.620679,,
OSM,4th Town Police Station,17.7381018,83.3052011,,
OSM,Unknown,17.786154,83.3567371,,
OSM,Police Training Academy,13.6482669,79.2700834,,
OSM,Gokavaram Police Station,17.2587602,81.8501155,,
OSM,"Police station, Komarada",18.9054664,83.4628407,,
OSM,Unknown,17.5965786,81.7152069,,
OSM,Unknown,17.7448193,81.3948212,,
OSM,Gangavaram Police Station,17.4223422,81.9119651,,
OSM,Unknown,17.4782863,82.0214557,,
OSM,Addateegala Old Police Station,17.4785138,82.0218571,,
OSM,Denkada Police Station,18.07853,83.4597116,,
OSM,Police Station,15.9066468,80.4712283,,
OSM,New Police Station,15.9061307,80.471182,,
OSM,Police Station,16.762911,81.8423526,,
OSM,Suryalanka Marine Coastal Security Police Station,15.8417208,80.5085848,,
OSM,Arpet Police Station,16.1831271,81.1322701,,
OSM,Korukonda Police station,17.170552,81.8270122,,
OSM,DSP Northzone office,17.1630923,81.8304574,,
OSM,Kothapeta Police station,16.5263972,80.6110123,,
OSM,Kothavalsa Police Station,17.9013382,83.1903751,,
OSM,Unknown,18.2900603,83.5481676,,
OSM,Unknown,16.9740561,82.2360457,,
OSM,tadepalligudem town police station,16.8140295,81.527257,,
OSM,Malkapuram Police Station,17.6875376,83.2582017,,
OSM,Police Station,16.8543733,82.1693175,,
OSM,Anandapuram Police Station,17.8931748,83.3719104,,
OSM,P.M. Palem Traffic Police Station,17.7996523,83.3526684,,
OSM,Crime Investigation Department,16.4915075,80.678097,,
OSM,Ajit Singh Nagar Police Station,16.5360485,80.6290364,,
OSM,police station,16.6025385,81.81065,,
OSM,Ramabhadrapuram Police station,18.4863154,83.2842265,,
OSM,1 Town Police Station,18.1151141,83.409531,,
OSM,Unknown,15.4783171,77.3868375,,
OSM,II Town police station,15.6220466,77.2758971,,
OSM,Unknown,17.0073301,81.7789014,,
OSM,"Police Station, Nagalapuram",13.3877361,79.7947619,,
OSM,Unknown,18.2021704,83.6902176,,
OSM,Ponnur police station,16.0726263,80.549673,,
OSM,Sabbavaram Police Station,17.7912715,83.1258107,,
OSM,Police Station,17.5601432,82.6874563,,
OSM,police ground,14.4752906,78.8250834,,
OSM,Police Station Putlampalli,14.4362616,78.8625516,,
OSM,police quaters,15.8278479,78.0284515,,
OSM,police head quarters,13.210464,79.0977223,,
OSM,AP Checkpost,15.3104258,77.1441648,,
OSM,Tirupathi East Police Station,13.628493,79.4242832,+91 8772289006,
OSM,Police Parade Ground,15.5137431,80.0343005,,
OSM,SN Puram Police Station,16.5240893,80.6316978,,
OSM,Unknown,17.7103215,83.2994283,,
OSM,Unknown,17.718173,83.3098573,,
OSM,"Rural Police Station, Tuni",17.3418432,82.5128414,,
OSM,Unknown,17.0168238,81.7335611,,
OSM,Police High Frequency Receiving Station,15.7621562,78.0419895,,
OSM,Kurnool Rural Office Circle,15.8165516,78.0403297,,
OSM,SC / ST Cell,15.8064637,78.0423807,,
OSM,Traffic Police Control Station,15.8054779,78.0435233,,
OSM,Sulurpeta Police Station,13.7006378,80.0147189,,
OSM,Gajuwaka Police Station,17.6839854,83.1932988,,
OSM,Unknown,17.1351427,81.6632346,,
OSM,POLICE STATION,16.0246866,80.9153475,,
OSM,Andhra Pradesh Special Police Force Station,15.8294047,78.0192841,,
OSM,District police office,17.012218,81.8096371,,
OSM,District police office,17.0159292,81.8083394,,
OSM,Police station,15.397523,77.5009578,,
OSM,RKV POLICE STATION,14.337903,78.5362758,,
OSM,Tadepalli Police station,16.4815344,80.6035544,,
OSM,Prathipadu Police Station,16.1824378,80.3335719,0863-2280233,
OSM,Police parade ground,16.2962745,80.4328012,,
OSM,Police station,17.1222754,81.2945053,,
OSM,police station,15.942253,78.5475273,,
OSM,police quarters,15.9422826,78.5478406,,
OSM,District Police Office,18.3081746,83.8937926,,
OSM,Police Station,16.9543301,82.2370901,,
OSM,SP Office,16.9739927,82.2363158,,
OSM,1 town Police Station,14.4775822,78.8222596,,
OSM,Town Police Station,17.6718678,82.6105921,,
OSM,Police Station,16.9935833,80.5199597,+918673274233,
OSM,Coastal Security Police Station,16.4232544,81.9650556,,
OSM,Police Control Room,16.5111017,80.6180992,,
OSM,Unknown,17.7213931,83.3189192,,
OSM,S Kota Police Station,18.114136,83.1383939,,
OSM,Police station,16.9528785,81.4141925,,
OSM,Unknown,15.0103968,78.9895236,,
OSM,police station,17.4766791,82.4989357,,
OSM,Disha,18.1117379,83.3880705,,
OSM,Vizianagaram 1st town police station,18.1151128,83.4095302,,
OSM,Vizianagaram 2nd Town Police Station,18.1216774,83.4155807,,
OSM,3 APSP,17.0081665,82.2511453,,
OSM,Nallapadu Police Stataion,16.3422684,80.4184129,,
OSM,police vehicle parking,16.3429918,80.418595,,
OSM,police vehicle parking,16.3429647,80.4189816,,
OSM,police vehicle parking,16.3426362,80.4184834,,
OSM,Police Area,16.3426252,80.4188862,,
OSM,police Area,16.3422504,80.4187913,,
OSM,Permanent Traffic Count Station,17.813007,83.2067821,,
OSM,Central Reserve Police Force ( CRPF) 198 Betallion Headquarters,17.7107995,83.3049589,,
OSM,3 Town Police Station,17.7284386,83.3260854,,
OSM,Inuguduru police station,16.1718804,81.1245789,,
OSM,Police Station,18.4862973,83.2842262,,
OSM,police station,17.747866,83.2483459,,
OSM,Police Quaters,17.0071549,81.7776224,,
OSM,Unknown,18.2818275,83.3372529,,
OSM,Pachipenta Police Station,18.489177,83.1151337,,
OSM,"District Police Office, Rayachoty, Annamayya District",14.0913533,78.7542576,,
OSM,Unknown,17.0069204,81.7783311,,
